Region_Name,SIG_ENG_NM,True_Avg_PM2.5,Pred_Avg_PM2.5,Difference (Pred - True)
Seoul,Jongno-gu,19.134909,18.707304,-0.42760468
Seoul,Nowon-gu,20.400839,19.88088,-0.5199585
Seoul,Songpa-gu,20.653564,20.085306,-0.5682583
Seoul,Yeongdeungpo-gu,21.25797,20.73752,-0.5204506
Seoul,Yongsan-gu,20.594492,20.100924,-0.49356842
Incheon,Ganghwa-gun,12.620857,12.436898,-0.183959
Incheon,Jung-gu,15.400241,15.158028,-0.24221325
Incheon,Michuhol-gu,23.265944,22.897346,-0.36859703
Incheon,Namdong-gu,21.865046,21.367537,-0.497509
Incheon,Ongjin-gun,11.851777,11.704987,-0.1467905
Incheon,Seo-gu,19.676447,19.270647,-0.40579987
Incheon,Yeonsu-gu,17.476482,17.152794,-0.3236885
Busan,Busanjin-gu,12.607863,12.333565,-0.27429867
Busan,Gangseo-gu,12.309477,12.106946,-0.20253086
Busan,Geumjeong-gu,11.624524,11.4135895,-0.21093464
Busan,Gijang-gun,10.800375,10.6141205,-0.1862545
Busan,Haeundae-gu,11.303781,11.085003,-0.21877766
Busan,Nam-gu,9.804957,9.657237,-0.14772034
Busan,Saha-gu,10.982631,10.834994,-0.14763641
Busan,Yeongdo-gu,10.645386,10.48601,-0.15937614
Daegu,Buk-gu,14.377288,14.080087,-0.29720116
Daegu,Dalseo-gu,17.834433,17.450752,-0.38368034
Daegu,Dalseong-gun,16.063694,15.761485,-0.3022089
Daegu,Dong-gu,13.203928,12.997383,-0.20654488
Daegu,Suseong-gu,16.410082,16.018099,-0.39198303
Gwangju,Buk-gu,13.447258,13.309066,-0.13819218
Gwangju,Dong-gu,13.106938,12.916572,-0.19036674
Gwangju,Gwangsan-gu,14.117427,13.913264,-0.2041626
Gwangju,Seo-gu,15.385513,15.059418,-0.32609558
Gyeonggi,Anseong-si,20.01528,19.465626,-0.549654
Gyeonggi,Bucheon-si,21.294003,20.775599,-0.518404
Gyeonggi,"Bundang-gu, Seongnam-si",20.40503,19.891819,-0.5132103
Gyeonggi,"Cheoin-gu, Yongin-si",19.700571,19.189053,-0.5115185
Gyeonggi,"Danwon-gu, Ansan-si",15.6175785,15.340647,-0.27693176
Gyeonggi,"Deogyang-gu, Goyang-si",18.253387,17.838114,-0.41527367
Gyeonggi,Dongducheon-si,16.191378,15.935599,-0.2557783
Gyeonggi,Gapyeong-gun,15.003357,14.666631,-0.3367262
Gyeonggi,"Giheung-gu, Yongin-si",22.178537,21.58267,-0.59586716
Gyeonggi,Gimpo-si,16.696709,16.340601,-0.3561077
Gyeonggi,Gwacheon-si,20.402895,19.950918,-0.45197678
Gyeonggi,Gwangju-si,18.899286,18.397442,-0.5018444
Gyeonggi,Gwangmyeong-si,21.43482,20.927538,-0.50728226
Gyeonggi,"Gwonseon-gu, Suwon-si",22.033041,21.45195,-0.5810909
Gyeonggi,Hanam-si,19.330992,18.796087,-0.5349045
Gyeonggi,Hwaseong-si,19.0042,18.568352,-0.43584824
Gyeonggi,Icheon-si,20.219797,19.625065,-0.5947323
Gyeonggi,"Ilsandong-gu, Goyang-si",18.874516,18.377169,-0.49734688
Gyeonggi,Namyangju-si,17.161163,16.753975,-0.40718842
Gyeonggi,Paju-si,15.065993,14.795612,-0.27038097
Gyeonggi,Pocheon-si,15.288431,15.005706,-0.28272533
Gyeonggi,Pyeongtaek-si,20.60625,20.037489,-0.5687618
Gyeonggi,Siheung-si,20.250166,19.811722,-0.43844414
Gyeonggi,"Sujeong-gu, Seongnam-si",20.669313,20.16194,-0.5073738
Gyeonggi,Uijeongbu-si,18.83488,18.349043,-0.48583794
Gyeonggi,Uiwang-si,19.89212,19.439432,-0.45268822
Gyeonggi,Yangju-si,17.587372,17.198956,-0.3884163
Gyeonggi,Yangpyeong-gun,16.636585,16.216686,-0.419899
Gyeonggi,Yeoju-si,18.71263,18.186918,-0.52571106
Gyeonggi,Yeoncheon-gun,13.207571,13.01058,-0.19699097
Gangwon,Cheorwon-gun,11.806006,11.60105,-0.20495605
Gangwon,Chuncheon-si,14.032765,13.740071,-0.2926941
Gangwon,Donghae-si,9.281304,9.118313,-0.16299152
Gangwon,Gangneung-si,8.74329,8.624846,-0.11844349
Gangwon,Goseong-gun,8.569299,8.439148,-0.1301508
Gangwon,Hoengseong-gun,14.132113,13.841656,-0.29045773
Gangwon,Hongcheon-gun,13.065324,12.797162,-0.26816177
Gangwon,Hwacheon-gun,12.360342,12.128369,-0.2319727
Gangwon,Inje-gun,11.233022,11.041102,-0.19191933
