Region_Name,SIG_ENG_NM,True_Avg_PM2.5,Pred_Avg_PM2.5,Difference (Pred - True)
Seoul,Jongno-gu,19.134909,19.14653,0.011621475
Seoul,Nowon-gu,20.400839,20.321712,-0.07912636
Seoul,Songpa-gu,20.653564,20.448381,-0.20518303
Seoul,Yeongdeungpo-gu,21.25797,21.013956,-0.24401474
Seoul,Yongsan-gu,20.594492,20.395575,-0.19891739
Incheon,Ganghwa-gun,12.927131,12.972781,0.045650482
Incheon,"Jung-gu, Incheon",15.400241,15.419114,0.018873215
Incheon,Michuhol-gu,23.265944,23.153643,-0.11230087
Incheon,Namdong-gu,21.865046,21.75258,-0.112464905
Incheon,Ongjin-gun,11.899758,12.174111,0.27435303
Incheon,"Seo-gu, Incheon",19.676447,19.581581,-0.0948658
Incheon,Yeonsu-gu,17.476482,17.508825,0.03234291
Busan,Busanjin-gu,12.607863,12.592621,-0.015242577
Busan,Gangseo-gu,12.309477,12.354834,0.04535675
Busan,Geumjeong-gu,11.624524,11.675267,0.050743103
Busan,Gijang-gun,10.800375,10.764406,-0.03596878
Busan,Haeundae-gu,11.303781,11.259571,-0.04420948
Busan,"Nam-gu, Busan",9.804957,9.816441,0.011483192
Busan,Saha-gu,10.982631,10.993637,0.011006355
Busan,Yeongdo-gu,10.645386,10.701705,0.056319237
Daegu,"Buk-gu, Daegu",14.377288,14.285258,-0.09202957
Daegu,Dalseo-gu,17.834433,17.498793,-0.33563995
Daegu,Dalseong-gun,16.063694,15.833272,-0.23042202
Daegu,"Dong-gu, Daegu",13.203928,13.175843,-0.028084755
Daegu,Suseong-gu,16.410082,16.162905,-0.24717712
Gwangju,"Buk-gu, Gwangju",13.447258,13.461062,0.013804436
Gwangju,"Dong-gu, Gwangju",13.106938,13.095746,-0.011192322
Gwangju,Gwangsan-gu,14.117427,14.064369,-0.05305767
Gwangju,"Seo-gu, Gwangju",15.385513,15.186414,-0.19909954
Gyeonggi,Ansan-si,15.6175785,15.612692,-0.004886627
Gyeonggi,Anseong-si,20.01528,19.796885,-0.21839523
Gyeonggi,Bucheon-si,21.294003,21.059132,-0.23487091
Gyeonggi,Dongducheon-si,16.191378,16.269594,0.07821655
Gyeonggi,Gapyeong-gun,15.003357,15.165863,0.1625061
Gyeonggi,Gimpo-si,16.696709,16.660412,-0.036296844
Gyeonggi,Goyang-si,18.46043,18.451925,-0.008504868
Gyeonggi,Gwacheon-si,20.402895,20.324146,-0.0787487
Gyeonggi,Gwangju-si,18.899286,18.866468,-0.03281784
Gyeonggi,Gwangmyeong-si,21.43482,21.293262,-0.1415577
Gyeonggi,Hanam-si,19.330992,19.186499,-0.1444931
Gyeonggi,Hwaseong-si,19.0042,18.917543,-0.08665657
Gyeonggi,Icheon-si,20.219797,20.033222,-0.18657494
Gyeonggi,Namyangju-si,17.161163,17.209436,0.048273087
Gyeonggi,Paju-si,15.409228,15.451383,0.042154312
Gyeonggi,Pocheon-si,15.288431,15.475165,0.1867342
Gyeonggi,Pyeongtaek-si,20.60625,20.40254,-0.20371056
Gyeonggi,Seongnam-si,20.53717,20.434925,-0.10224533
Gyeonggi,Siheung-si,20.250166,20.21534,-0.03482628
Gyeonggi,Suwon-si,22.033041,21.816345,-0.21669579
Gyeonggi,Uijeongbu-si,18.83488,18.78925,-0.04563141
Gyeonggi,Uiwang-si,19.89212,19.821867,-0.07025337
