Region_Name,SIG_ENG_NM,True_Avg_PM2.5,Pred_Avg_PM2.5,Difference (Pred - True)
Seoul,Jongno-gu,19.134909,18.509897,-0.62501144
Seoul,Nowon-gu,20.400839,19.721827,-0.6790123
Seoul,Songpa-gu,20.653564,19.905355,-0.748209
Seoul,Yeongdeungpo-gu,21.25797,20.416399,-0.8415718
Seoul,Yongsan-gu,20.594492,19.829895,-0.76459694
Incheon,Ganghwa-gun,12.620857,12.2452545,-0.37560272
Incheon,"Jung-gu, Incheon",15.400241,14.927402,-0.47283936
Incheon,Michuhol-gu,23.265944,22.548904,-0.7170391
Incheon,Namdong-gu,21.865046,21.079922,-0.7851238
Incheon,Ongjin-gun,11.851777,11.638495,-0.21328163
Incheon,"Seo-gu, Incheon",19.676447,18.998936,-0.6775112
Incheon,Yeonsu-gu,17.476482,16.760464,-0.7160187
Busan,Busanjin-gu,12.607863,12.325423,-0.2824402
Busan,Gangseo-gu,12.309477,12.074894,-0.2345829
Busan,Geumjeong-gu,11.624524,11.390054,-0.23447037
Busan,Gijang-gun,10.800375,10.546119,-0.25425625
Busan,Haeundae-gu,11.303781,11.022235,-0.28154564
Busan,"Nam-gu, Busan",9.804957,9.545759,-0.2591982
Busan,Saha-gu,10.982631,10.723298,-0.25933266
Busan,Yeongdo-gu,10.645386,10.39366,-0.25172615
Daegu,"Buk-gu, Daegu",14.377288,14.006923,-0.37036514
Daegu,Dalseo-gu,17.834433,17.244736,-0.5896969
Daegu,Dalseong-gun,16.063694,15.541754,-0.52194023
Daegu,"Dong-gu, Daegu",13.203928,12.859421,-0.34450722
Daegu,Suseong-gu,16.410082,15.864984,-0.5450983
Gwangju,"Buk-gu, Gwangju",13.447258,13.284645,-0.16261292
Gwangju,"Dong-gu, Gwangju",13.106938,12.938035,-0.16890335
Gwangju,Gwangsan-gu,14.117427,13.852399,-0.265028
Gwangju,"Seo-gu, Gwangju",15.385513,14.985938,-0.39957523
Gyeonggi,Ansan-si,15.6175785,15.075193,-0.5423851
Gyeonggi,Anseong-si,20.01528,19.270588,-0.74469185
Gyeonggi,Bucheon-si,21.294003,20.406973,-0.88702965
Gyeonggi,Dongducheon-si,16.191378,15.744949,-0.4464283
Gyeonggi,Gapyeong-gun,15.003357,14.587153,-0.4162035
Gyeonggi,Gimpo-si,16.696709,16.120266,-0.5764427
Gyeonggi,Goyang-si,18.46043,17.82176,-0.63866997
Gyeonggi,Gwacheon-si,20.402895,19.768784,-0.6341114
Gyeonggi,Gwangju-si,18.899286,18.252016,-0.6472702
Gyeonggi,Gwangmyeong-si,21.43482,20.70769,-0.7271309
Gyeonggi,Hanam-si,19.330992,18.607237,-0.7237549
Gyeonggi,Hwaseong-si,19.0042,18.31391,-0.69029045
Gyeonggi,Icheon-si,20.219797,19.468124,-0.75167274
Gyeonggi,Namyangju-si,17.161163,16.598593,-0.5625706
Gyeonggi,Paju-si,15.065993,14.638803,-0.42719078
Gyeonggi,Pocheon-si,15.288431,14.87672,-0.41171074
Gyeonggi,Pyeongtaek-si,20.60625,19.807316,-0.79893494
Gyeonggi,Seongnam-si,20.53717,19.845055,-0.6921158
Gyeonggi,Siheung-si,20.250166,19.49062,-0.7595463
Gyeonggi,Suwon-si,22.033041,21.110842,-0.92219925
Gyeonggi,Uijeongbu-si,18.83488,18.247477,-0.58740425
Gyeonggi,Uiwang-si,19.89212,19.171474,-0.7206459
Gyeonggi,Yangju-si,17.587372,17.05777,-0.52960205
Gyeonggi,Yangpyeong-gun,16.636585,16.113327,-0.5232582
Gyeonggi,Yeoju-si,18.71263,18.044577,-0.6680527
Gyeonggi,Yeoncheon-gun,13.207571,12.8658285,-0.34174252
Gyeonggi,Yongin-si,20.113565,19.350847,-0.7627182
Gangwon,Cheorwon-gun,11.806006,11.524177,-0.28182983
Gangwon,Chuncheon-si,14.032765,13.693272,-0.33949375
Gangwon,Donghae-si,9.281304,9.079106,-0.20219803
Gangwon,Gangneung-si,8.74329,8.614495,-0.12879467
Gangwon,Goseong-gun,8.569299,8.417541,-0.1517582
Gangwon,Hoengseong-gun,14.132113,13.772278,-0.35983562
Gangwon,Hongcheon-gun,13.065324,12.787098,-0.2782259
Gangwon,Hwacheon-gun,12.360342,12.061727,-0.29861546
Gangwon,Inje-gun,11.241646,11.050746,-0.19089985
Gangwon,Jeongseon-gun,10.5468645,10.364794,-0.18207073
Gangwon,Pyeongchang-gun,10.7929945,10.668507,-0.12448788
Gangwon,Samcheok-si,8.553193,8.409655,-0.14353848
Gangwon,Sokcho-si,9.102126,8.948642,-0.15348434
Gangwon,Taebaek-si,9.6136465,9.441734,-0.1719122
Gangwon,Wonju-si,15.741813,15.2358465,-0.5059662
Gangwon,Yanggu-gun,10.939463,10.67979,-0.25967312
Gangwon,Yangyang-gun,8.905878,8.791474,-0.114403725
Gangwon,Yeongwol-gun,12.669892,12.372976,-0.296916
Chungbuk,Boeun-gun,16.182325,15.6690035,-0.5133219
Chungbuk,Cheongju-si,18.010006,17.41087,-0.59913635
Chungbuk,Chungju-si,17.423332,16.861238,-0.56209373
Chungbuk,Danyang-gun,14.939543,14.577855,-0.36168766
Chungbuk,Eumseong-gun,18.838316,18.213678,-0.6246376
Chungbuk,Goesan-gun,16.860615,16.326899,-0.5337162
Chungbuk,Jecheon-si,15.701449,15.219842,-0.48160744
Chungbuk,Jeungpyeong-gun,18.159872,17.565649,-0.594223
Chungbuk,Jincheon-gun,19.321293,18.649876,-0.67141724
Chungbuk,Okcheon-gun,16.49487,15.95474,-0.54012966
Chungbuk,Yeongdong-gun,15.10978,14.686074,-0.42370605
Chung-Nam,Asan-si,19.858286,19.166553,-0.6917324
Chung-Nam,Boryeong-si,13.46084,12.994843,-0.4659977
Chung-Nam,Buyeo-gun,17.262325,16.633533,-0.6287918
Chung-Nam,Cheonan-si,19.48306,18.759867,-0.7231941
Chung-Nam,Cheongyang-gun,17.29034,16.644846,-0.64549446
Chung-Nam,Dangjin-si,24.071575,23.019249,-1.0523262
Chung-Nam,Geumsan-gun,15.058604,14.621468,-0.43713665
Chung-Nam,Gongju-si,17.90115,17.270363,-0.6307869
Chung-Nam,Gyeryong-si,17.012016,16.532198,-0.47981834
Chung-Nam,Hongseong-gun,17.847937,17.119913,-0.7280235
Chung-Nam,Nonsan-si,16.892292,16.31363,-0.5786629
Chung-Nam,Seocheon-gun,16.320433,15.652552,-0.667881
Chung-Nam,Seosan-si,17.266336,16.56012,-0.7062168
Chung-Nam,Taean-gun,12.280428,11.859001,-0.42142677
Chung-Nam,Yesan-gun,18.96943,18.196182,-0.7732487
Gyeong-Buk,Andong-si,13.898767,13.462848,-0.43591976
Gyeong-Buk,Bonghwa-gun,11.328569,11.066857,-0.26171207
Gyeong-Buk,Cheongdo-gun,14.154136,13.763087,-0.39104843
Gyeong-Buk,Cheongsong-gun,12.517393,12.145163,-0.37223053
Gyeong-Buk,Chilgok-gun,15.90318,15.35158,-0.55160046
Gyeong-Buk,Gimcheon-si,15.433059,14.945591,-0.48746777
Gyeong-Buk,Goryeong-gun,15.738198,15.22407,-0.5141287
Gyeong-Buk,Gumi-si,16.758875,16.157093,-0.60178185
Gyeong-Buk,Gunwi-gun,15.024656,14.530893,-0.49376297
Gyeong-Buk,Gyeongju-si,17.071278,16.307386,-0.7638912
Gyeong-Buk,Gyeongsan-si,15.208355,14.701314,-0.507041
Gyeong-Buk,Mungyeong-si,14.788313,14.32991,-0.45840263
Gyeong-Buk,"Nam-gu, Pohang-si",9.2635765,9.011143,-0.25243378
Gyeong-Buk,Pohang-si,15.321186,14.625366,-0.69581985
Gyeong-Buk,Sangju-si,15.714785,15.203951,-0.51083374
Gyeong-Buk,Seongju-gun,15.766547,15.253951,-0.51259613
Gyeong-Buk,Uiseong-gun,14.752589,14.265908,-0.48668098
Gyeong-Buk,Uljin-gun,8.490738,8.367124,-0.12361431
Gyeong-Buk,Ulleung-gun,6.1821694,6.297465,0.11529541
Gyeong-Buk,Yecheon-gun,14.786136,14.321015,-0.46512032
Gyeong-Buk,Yeongcheon-si,13.825454,13.373525,-0.4519291
Gyeong-Buk,Yeongdeok-gun,10.139489,9.890073,-0.24941635
Gyeong-Buk,Yeongju-si,14.300446,13.888138,-0.41230774
Gyeong-Buk,Yeongyang-gun,10.966267,10.712885,-0.25338173
Gyeong-Nam,Changnyeong-gun,13.882155,13.505436,-0.37671947
Gyeong-Nam,Changwon-si,13.112879,12.839635,-0.2732439
Gyeong-Nam,Geochang-gun,12.457895,12.193296,-0.26459885
Gyeong-Nam,Geoje-si,8.987972,8.836094,-0.15187836
Gyeong-Nam,Gimhae-si,13.364064,13.045026,-0.3190384
Gyeong-Nam,Goseong-gun,12.389231,12.08554,-0.3036909
Gyeong-Nam,Hadong-gun,11.241034,11.150141,-0.09089279
Gyeong-Nam,Haman-gun,14.9660635,14.483719,-0.48234463
Gyeong-Nam,Hamyang-gun,11.844497,11.677074,-0.1674223
Gyeong-Nam,Hapcheon-gun,13.275971,12.944661,-0.33131027
Gyeong-Nam,Jinju-si,13.600351,13.28261,-0.3177414
Gyeong-Nam,Miryang-si,12.536358,12.285091,-0.25126648
Gyeong-Nam,Namhae-gun,10.463086,10.265698,-0.1973877
Gyeong-Nam,Sacheon-si,13.453503,13.114017,-0.33948612
Gyeong-Nam,Sancheong-gun,11.8203745,11.618199,-0.20217514
Gyeong-Nam,Tongyeong-si,8.836373,8.623353,-0.21302032
Gyeong-Nam,Uiryeong-gun,14.52229,14.061456,-0.4608345
Gyeong-Nam,Yangsan-si,11.518889,11.32423,-0.19465923
Jeon-Buk,Buan-gun,13.13391,12.786492,-0.34741783
Jeon-Buk,Gimje-si,16.004562,15.572944,-0.4316187
Jeon-Buk,Gochang-gun,14.159742,13.804904,-0.35483837
Jeon-Buk,Gunsan-si,13.12483,12.745976,-0.3788538
Jeon-Buk,Iksan-si,17.24744,16.711912,-0.5355282
Jeon-Buk,Imsil-gun,13.532347,13.303472,-0.22887516
Jeon-Buk,Jangsu-gun,12.433086,12.212193,-0.22089386
Jeon-Buk,Jeongeup-si,15.247791,14.905071,-0.34272003
Jeon-Buk,Jeonju-si,15.630687,15.24004,-0.39064693
Jeon-Buk,Jinan-gun,13.352757,13.085271,-0.26748657
Jeon-Buk,Muju-gun,13.020237,12.727771,-0.29246616
Jeon-Buk,Namwon-si,12.398216,12.240269,-0.15794754
Jeon-Buk,Sunchang-gun,13.523417,13.276064,-0.24735355
Jeon-Buk,Wanju-gun,14.531416,14.176613,-0.3548031
Jeon-Nam,Boseong-gun,12.658362,12.443986,-0.21437645
Jeon-Nam,Damyang-gun,13.265734,13.031301,-0.23443317
Jeon-Nam,Gangjin-gun,11.785946,11.582254,-0.20369148
Jeon-Nam,Goheung-gun,9.846983,9.709957,-0.13702583
Jeon-Nam,Gokseong-gun,12.948355,12.717289,-0.23106575
Jeon-Nam,Gurye-gun,10.832251,10.768625,-0.063625336
Jeon-Nam,Gwangyang-si,18.338266,17.733837,-0.60442924
Jeon-Nam,Haenam-gun,10.64776,10.506372,-0.14138794
Jeon-Nam,Hampyeong-gun,13.953048,13.68502,-0.2680273
Jeon-Nam,Hwasun-gun,12.545876,12.380482,-0.16539383
Jeon-Nam,Jangheung-gun,11.54828,11.381541,-0.16673851
Jeon-Nam,Jangseong-gun,13.48385,13.237669,-0.24618053
Jeon-Nam,Jindo-gun,8.222323,8.136552,-0.08577156
Jeon-Nam,Mokpo-si,12.50828,12.297586,-0.21069336
Jeon-Nam,Muan-gun,13.174032,12.961439,-0.21259308
Jeon-Nam,Naju-si,14.201259,13.876046,-0.32521248
Jeon-Nam,Sinan-gun,8.571391,8.53268,-0.038711548
Jeon-Nam,Suncheon-si,15.399062,14.953976,-0.44508648
Jeon-Nam,Wando-gun,8.066987,7.963015,-0.10397196
Jeon-Nam,Yeongam-gun,13.053325,12.8017025,-0.2516222
Jeon-Nam,Yeonggwang-gun,11.616635,11.363843,-0.25279236
Jeon-Nam,Yeosu-si,9.399225,9.20859,-0.19063568
Jeju,Jeju-si,6.937991,6.8592615,-0.07872963
Jeju,Seogwipo-si,6.8089213,6.751031,-0.057890415
Daejeon,Daedeok-gu,16.778551,16.253984,-0.52456665
Daejeon,"Dong-gu, Daejeon",16.75462,16.210958,-0.5436611
Daejeon,"Seo-gu, Daejeon",17.519373,16.929846,-0.58952713
Daejeon,Yuseong-gu,18.48754,17.81131,-0.6762295
Ulsan,"Buk-gu, Ulsan",13.216816,12.970058,-0.2467575
Ulsan,"Dong-gu, Ulsan",10.370206,10.298936,-0.07126999
Ulsan,"Nam-gu, Ulsan",14.2270975,14.025696,-0.20140171
Ulsan,Ulju-gun,13.491662,13.188004,-0.3036585
Sejong,Sejong-si,18.959812,18.30711,-0.65270233
