A_NOX_ALL,A_VOC_ALL,A_NH3_ALL,A_O3_ALL,B_NOX_ALL,B_VOC_ALL,B_NH3_ALL,B_O3_ALL,C_NOX_ALL,C_VOC_ALL,C_NH3_ALL,C_O3_ALL,D_NOX_ALL,D_VOC_ALL,D_NH3_ALL,D_O3_ALL,E_NOX_ALL,E_VOC_ALL,E_NH3_ALL,E_O3_ALL,F_NOX_ALL,F_VOC_ALL,F_NH3_ALL,F_O3_ALL,G_NOX_ALL,G_VOC_ALL,G_NH3_ALL,G_O3_ALL,H_NOX_ALL,H_VOC_ALL,H_NH3_ALL,H_O3_ALL,I_NOX_ALL,I_VOC_ALL,I_NH3_ALL,I_O3_ALL,J_NOX_ALL,J_VOC_ALL,J_NH3_ALL,J_O3_ALL,K_NOX_ALL,K_VOC_ALL,K_NH3_ALL,K_O3_ALL,L_NOX_ALL,L_VOC_ALL,L_NH3_ALL,L_O3_ALL,M_NOX_ALL,M_VOC_ALL,M_NH3_ALL,M_O3_ALL,N_NOX_ALL,N_VOC_ALL,N_NH3_ALL,N_O3_ALL,O_NOX_ALL,O_VOC_ALL,O_NH3_ALL,O_O3_ALL,P_NOX_ALL,P_VOC_ALL,P_NH3_ALL,P_O3_ALL,Q_NOX_ALL,Q_VOC_ALL,Q_NH3_ALL,Q_O3_ALL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.863535805,1.241055552,0.83370348,0.5567649208071543,0.869754418,1.006563503,0.962917701,1.2923712590364984,1.068550257,1.120953752,1.23893509,1.023460050877156,0.835199625,1.228430464,0.873012441,1.0380202244789305,0.695553291,1.186508194,0.996501609,1.1880884189880965,1.334524357,0.910602478,1.184359983,0.9490646444993528,1.002000218,0.803191073,1.146772368,1.301376829583401,0.764775481,0.885962818,0.526543985,1.1718551244309792,0.635479026,0.73080257,0.90055931,1.2383310465636848,1.156333914,1.234487428,1.04998759,1.2522384440205518,0.88187545,0.968710982,0.817614325,1.2429086819042952,0.73954232,0.944993003,1.049730123,1.349620639338461,1.137425289,1.228396711,0.8400706,1.392906188950078,1.314464168,0.842700468,0.780937333,1.4661612569355351,1.236319088,0.840536292,1.048697914,1.0695563564480317,0.87020578,1.121574519,0.902625982,1.1568145771373644,0.65738346,1.010165438,1.31528251,1.0564730316575082
0.742005935,0.646945949,0.986339546,0.6157005396424111,1.192631045,1.003773253,0.780494493,1.2844275057361756,0.934011503,0.969481948,0.957689415,1.0085945787047152,1.012360305,1.277558988,1.008264154,0.9912168906726068,1.086871117,0.899152983,1.396219993,1.1019506913624069,0.941018466,0.661978089,1.00386577,0.9960539898618634,1.118786464,0.694296244,0.972868391,1.3025310842820974,0.923891128,1.27979922,1.060337463,1.1689298431073163,1.050851731,1.071004873,1.115864367,1.194285783362555,1.331561671,1.049558709,0.974431118,1.2295229769737968,1.144306736,0.815849512,1.235233197,1.2215379048389454,0.862231077,1.051922246,0.821474696,1.3229756743272196,1.183849535,1.059202772,1.117615737,1.3675891406238456,0.786083982,0.785215215,1.117292219,1.4849045862093828,1.238821317,0.938990704,0.943296868,1.0435248762884912,1.278779791,1.284150807,1.433524304,1.070437261712054,1.120913183,0.824733823,1.290492127,1.000228636004446
1.242453095,1.263960396,0.903859773,0.5775613814327166,0.955692638,0.973506048,0.906025623,1.2935118124711056,0.823670413,1.022233043,1.065741091,1.05019600948533,0.680270526,0.791884687,0.983349129,1.0439317362472258,1.069616279,0.741900646,1.370173452,1.1108871719027256,0.922186429,1.130895864,0.82878239,0.987614656309781,1.047782142,1.156916729,0.956777876,1.2988396381010774,1.257153307,0.914818751,0.918796965,1.1301949871129782,1.177884698,0.84780259,1.240347223,1.178057557658744,1.190786957,0.994135268,1.398683641,1.2383177446637954,1.089381833,0.755261209,1.162130556,1.2386016926099284,1.174900035,0.826106864,0.90584816,1.2980248122519775,0.959948079,0.942969933,0.801629902,1.3741833808520412,1.445309092,1.00798856,0.559174998,1.4564628509424429,1.258952103,1.381328696,1.342452754,1.017758573957688,0.993027986,1.163494215,1.079286598,1.1142716913359565,1.145995299,1.265948542,0.77775531,0.9717512958830684
0.814412821,0.735800477,0.644385384,0.6773273816598626,1.089341798,1.144005695,1.188024604,1.304587287666119,0.907912888,0.796244131,0.883309564,1.0165016826596158,1.056815416,1.225650308,0.683433485,0.9933908450549542,1.014809104,0.647299473,1.113795094,1.119987852569852,0.659572528,0.977711482,0.821161633,1.0522018929801635,1.019021286,1.381886546,1.3258807,1.313925528591543,1.153345748,0.902152415,0.587981815,1.1607804479643655,1.219771886,1.130540603,1.063928101,1.2092820626706269,1.167229313,1.003284067,0.581641564,1.2382716027385448,1.129857431,1.296876791,1.267681259,1.217304675040269,0.831819357,0.711278398,1.433584959,1.326363818758573,1.240626991,1.190229341,0.965237792,1.3731340974972737,0.574630702,1.191931088,1.148330824,1.4973242598606324,0.837272709,1.279428674,1.027987327,1.0795313067893977,1.094223655,0.868594404,0.953091311,1.0773785801502906,1.19671711,0.776720168,1.122029181,1.0100751139547346
1.006110591,0.85056313,0.676458337,0.5619475007496527,1.00456697,1.12220135,0.951893869,1.282075373480024,0.986490657,1.273809108,1.05919826,1.0687725274049091,1.131832289,1.037194256,0.91341052,1.0405926521718147,1.23694958,1.119970462,1.412180964,1.1267919433249365,1.102931567,0.698627609,0.92922443,0.9593785628854692,1.238521654,0.945547269,1.195485432,1.2832812383214771,1.253846262,0.771606137,1.170060678,1.1409180080414132,1.100119479,1.109046606,1.102866896,1.2074087373698383,0.794937212,0.606652168,0.986113278,1.2654703937340863,0.84206883,1.154850211,0.867263047,1.2716480971017805,0.814080575,1.180748399,1.286490562,1.3372352188474343,0.974930931,1.159977401,0.854129775,1.3931563138205112,1.223779652,1.273211738,0.554029089,1.4712078072874812,0.899030157,1.076268145,1.029533903,1.0817636912262236,0.82189145,0.868297987,0.855798546,1.173079329305305,0.751785092,1.263983224,0.568521753,1.0310075734505262
1.20982461,0.774887499,0.89191425,0.6092305016803863,0.997777316,0.7879802,0.89638593,1.3074757967630672,1.183762157,1.04942654,1.12139005,0.9852203450500544,0.743628068,0.755155193,0.859793522,1.0403207465923252,0.631877082,0.752046567,1.039454216,1.188227551331279,0.775403683,1.229989003,1.317690655,1.0400050952727844,0.56546994,0.842846414,1.158099735,1.348594396225996,0.774474281,1.144011171,0.805555474,1.194131075815576,1.034344326,0.886239005,0.816392675,1.2358743423278036,1.173687191,1.030130761,1.389147261,1.2568982255050505,1.152740871,0.758473491,0.726096311,1.232733803700392,1.031206061,0.886560195,0.55004437,1.325993454543645,0.90977959,0.697297803,0.745991497,1.3895953368515683,0.856831279,1.020220026,0.927186524,1.4851565542992002,0.788106877,0.783014064,0.92584668,1.1061544910915826,1.036612412,0.759389281,0.67702731,1.0936361130423102,0.900017526,1.328512373,0.647614057,1.0565403398853537
0.853427337,0.609329157,0.884360161,0.5762948746735237,1.006296576,0.70916134,0.950202367,1.2852879819853569,1.347431237,0.701150466,1.223561638,0.937653396173188,0.858616118,0.864374455,0.71983409,1.0489201023072776,0.578606184,0.548019299,1.119574255,1.1948157703761528,1.173648822,0.923497543,1.276270076,0.9574045670859817,0.944221693,0.909314692,1.142443774,1.2917562688889666,0.749715658,0.988939304,0.850681446,1.1797676658830631,0.970730094,1.071937509,1.017742985,1.190550622161807,0.942073032,1.284261767,1.331583052,1.262356090262576,1.217431963,0.908483819,1.009333676,1.216269676635729,0.945504322,0.670368531,0.579650555,1.3193351931621722,0.987787189,0.941851606,1.193142241,1.3869234674729072,1.229980835,1.046640304,0.816325871,1.4650261409981111,0.699155484,0.917880066,0.671558648,1.0991869682177675,1.271278806,1.187359263,1.443065066,1.0674428903818078,0.843425445,1.053938483,1.39876496,1.0310995193774737
0.929154851,1.08527994,0.944669895,0.6949538121478664,0.778706281,0.850078691,0.845650473,1.3362263941581498,0.786481156,1.156256054,1.037855106,1.0489122379045717,0.709441796,1.172045767,0.746728746,1.08631696535064,0.807906909,0.84564559,0.964272922,1.191018984207327,0.64576199,1.032179084,1.066529304,1.0816650175485238,1.166056552,0.868713633,0.59129005,1.3339306951354768,0.764572222,1.089814984,0.844858865,1.2268480970034752,0.832608223,0.739584898,1.144511813,1.237194271728815,0.863026945,0.917530584,0.698799704,1.288706017291057,1.103086033,0.733845071,1.359029776,1.2426968652767298,1.129908421,1.012116031,0.582069806,1.3324881609250947,0.709905265,0.64349776,0.572279615,1.409358242927775,1.300925165,1.219353406,0.885092459,1.4701419963989024,0.55147272,0.95469364,0.634609654,1.1551001680678157,0.971376299,0.887032126,0.862394299,1.1210786390810863,0.859912053,1.074999265,1.444125871,1.0837910482268829
0.911115859,1.24724576,1.127589901,0.54028056440975,1.244293445,1.102117561,1.114615928,1.27737580917715,0.588411357,0.711308121,0.972911734,1.1329918574862097,0.942185173,1.100281621,0.766472121,1.074306332801063,0.951690689,0.830063096,0.943465557,1.144852390537268,1.330369651,0.916952043,1.392082373,0.9346409305726536,1.278716774,1.176940998,0.829792146,1.272244224970947,1.290937469,0.983656023,1.063209342,1.1323717370447255,0.649537006,0.818499615,0.530212998,1.2349551902615594,0.741202041,1.104128552,1.230786456,1.2728173740384578,0.734508551,1.045447181,0.89858597,1.2835728663483776,1.001931406,0.849999163,1.190785798,1.3262676641473647,0.930071013,0.681210519,0.708438232,1.3896197287880856,0.986321308,1.183758718,0.618506069,1.4799584913138748,0.977189139,0.918292489,1.021256909,1.0710944001428373,1.318631689,1.244246266,1.476738529,1.120293519784395,1.067401303,0.804428357,1.390899309,1.020679677317413
