,A_SO2_ALL,A_PM25_ALL,B_SO2_ALL,B_PM25_ALL,C_SO2_ALL,C_PM25_ALL,D_SO2_ALL,D_PM25_ALL,E_SO2_ALL,E_PM25_ALL,F_SO2_ALL,F_PM25_ALL,G_SO2_ALL,G_PM25_ALL,H_SO2_ALL,H_PM25_ALL,I_SO2_ALL,I_PM25_ALL,J_SO2_ALL,J_PM25_ALL,K_SO2_ALL,K_PM25_ALL,L_SO2_ALL,L_PM25_ALL,M_SO2_ALL,M_PM25_ALL,N_SO2_ALL,N_PM25_ALL,O_SO2_ALL,O_PM25_ALL,P_SO2_ALL,P_PM25_ALL,Q_SO2_ALL,Q_PM25_ALL
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.70009906,0.812253899,0.796406684,0.803118227,1.09163714,1.159455337,1.096730749,0.923170905,0.835844288,0.641818319,1.117037707,1.20284414,1.158106979,1.035432889,0.830325052,0.972313847,0.56680702,0.627470654,1.103578487,1.1229095,0.717624168,0.958487106,1.077242867,0.810721524,1.1887037,1.133975333,1.159498522,1.061357904,0.988028956,1.146346911,0.941031122,0.901954926,1.139637869,0.591438122
3,0.983985214,0.956668037,0.832971207,1.093660071,0.88818859,0.974890082,0.947941719,0.989432314,0.7323964,1.255734713,0.905111387,1.050488022,1.13318511,0.946539328,1.252110644,1.046072772,1.074719773,1.171301595,1.261724674,1.196315357,1.244492228,1.104815009,0.91736474,0.879201369,0.989437,1.012176929,0.729895241,0.856940231,1.231139962,1.057522303,1.388193392,1.372564163,0.763422562,1.08313551
4,0.920476112,1.061870738,1.146790489,1.028231532,0.827747335,0.925972666,1.025498756,0.766222648,0.841434028,1.185767196,1.076797726,0.804311817,1.185959427,1.080103262,1.360059506,1.085336233,1.085012024,0.917832862,1.11007386,1.150007473,1.201728041,1.177062049,0.93133234,1.057151455,0.773078468,0.863973603,1.330348663,1.399764031,0.899459077,1.286840058,1.011176469,1.086030201,1.079256061,1.212819838
5,1.074629059,0.682861479,0.986735593,1.196274337,0.938968392,0.938990371,0.840764847,0.883690549,1.148488722,1.100577756,0.823102305,0.700742218,0.933645096,1.039858724,1.261401822,1.172196123,1.398569448,1.307515651,0.973882074,1.00222915,0.999351239,1.164097489,0.841211123,0.930754468,1.331131196,1.375896097,0.725755937,0.986676272,0.662364188,1.050256086,0.945196714,1.067505854,1.31748596,1.126078156
6,1.161712273,0.783887198,0.809007082,0.978059532,1.027401576,1.021241531,1.296972708,1.142260902,0.692092562,1.284114827,0.965151612,0.946603406,1.223281244,1.083983091,1.324158966,1.050077316,1.137306188,1.033986117,0.695020531,0.709694469,1.006717845,0.916655995,1.09370212,1.050519636,1.080709072,1.022301283,1.232086397,1.304321145,0.807446093,1.074511116,0.826005681,0.881672145,1.277750731,1.006255717
7,0.76656118,1.045073141,1.071465637,0.995076584,1.206028689,1.105443967,1.133138057,0.841787022,0.881150571,0.913993885,1.119230607,0.836272779,0.611403088,0.627568058,0.60042213,0.889543027,1.11743592,0.939122175,0.971325217,1.005427056,1.167247561,1.022723966,1.002362186,1.040433072,0.745479052,0.681014684,0.802813906,1.042531592,0.908306722,0.871740202,0.80472394,0.868929494,1.244432856,1.038194416
8,1.077390357,0.874578677,0.923829141,1.091274716,1.33938449,1.304125078,0.901165614,0.82251476,0.751764432,0.92282311,1.140628769,1.199789835,0.853731041,0.980773953,0.894106194,0.772000934,0.903513445,1.09054283,0.967211186,0.964517753,1.018837639,0.927994122,0.667703582,0.876602458,0.975337111,0.963640117,1.014496235,1.280734579,0.936354812,0.754568399,1.357019475,1.396717425,0.594395545,1.021733784
9,0.641805754,0.943876829,0.971607116,0.95121147,0.845352043,0.907085248,0.786863133,0.781572744,0.967049015,0.702456349,0.761536122,0.668115347,1.184612274,1.245918337,0.909699103,0.772199549,0.685496095,0.799251146,0.597254873,0.636617284,0.79665928,1.204152986,0.810114856,1.005860189,0.672774946,0.651978481,1.24121339,1.383813602,0.990585049,0.547036521,0.851570028,0.920563262,1.271494568,0.953722036
10,1.140241636,1.070522484,1.173942481,1.221317184,0.61482911,0.723020001,1.114423516,0.952453978,0.836730094,1.001063399,1.043492728,1.197683609,1.375954544,1.304372218,1.321212671,1.179459955,0.656859534,0.737694007,0.757420429,0.749825255,0.88129849,0.711691912,0.812876264,1.275221332,0.763929413,0.751967217,0.857382307,1.110789862,0.821094044,0.917233585,1.445087586,1.355166868,0.774454078,1.120975883
